Time[msec],Time[Ticks],GazeX,GazeY,Diameter,LCalib,LFound,LX,LY,LD,RCalib,RFound,RX,RY,RD,Lost
46.875,634251700246406250,379,420,2.8,1,1,380,431,2.8,1,1,379,410,2.8,False
46.875,634251700246406250,379,421,2.8,1,1,380,433,2.8,1,1,378,410,2.8,False
62.5,634251700246562500,378,421,2.8,1,1,380,433,2.8,1,1,377,410,2.8,False
78.125,634251700246718750,378,426,2.8,1,1,380,433,2.8,1,1,377,419,2.8,False
109.375,634251700247031250,378,426,2.8,1,1,380,433,2.8,1,1,376,419,2.8,False
125,634251700247187500,376,426,2.8,1,1,376,433,2.8,1,1,376,419,2.8,False
140.625,634251700247343750,376,421,2.8,1,1,376,432,2.8,1,1,376,410,2.8,False
171.875,634251700247656250,376,412,2.8,1,1,376,415,2.8,1,1,376,410,2.8,False
187.5,634251700247812500,374,412,2.8,1,1,373,415,2.8,1,1,376,410,2.8,False
203.125,634251700247968750,360,402,2.8,1,1,362,415,2.8,1,1,359,390,2.8,False
234.375,634251700248281250,341,389,2.8,1,1,347,405,2.8,1,1,335,374,2.8,False
250,634251700248437500,333,386,2.8,1,1,331,405,2.8,1,1,335,368,2.8,False
265.625,634251700248593750,331,379,2.8,1,1,328,394,2.8,1,1,335,364,2.8,False
296.875,634251700248906250,329,376,2.8,1,1,328,393,2.8,1,1,330,360,2.8,False
312.5,634251700249062500,328,375,2.8,1,1,326,393,2.8,1,1,330,358,2.8,False
328.125,634251700249218750,328,372,2.8,1,1,326,387,2.8,1,1,330,358,2.8,False
359.375,634251700249531250,328,372,2.8,1,1,326,387,2.8,1,1,330,358,2.8,False
375,634251700249687500,328,372,2.8,1,1,326,387,2.8,1,1,330,358,2.8,False
390.625,634251700249843750,325,372,2.8,1,1,326,387,2.8,1,1,324,357,2.8,False
421.875,634251700250156250,329,372,2.8,1,1,328,387,2.8,1,1,330,358,2.8,False
437.5,634251700250312500,329,366,2.8,1,1,328,375,2.8,1,1,330,358,2.8,False
453.125,634251700250468750,329,365,2.8,1,1,329,373,2.8,1,1,330,357,2.8,False
484.375,634251700250781250,328,369,2.8,1,1,329,375,2.8,1,1,328,364,2.8,False
500,634251700250937500,328,376,2.8,1,1,329,387,2.8,1,1,328,365,2.8,False
515.625,634251700251093750,326,383,2.8,1,1,329,395,2.8,1,1,323,371,2.8,False
546.875,634251700251406250,324,386,2.8,1,1,328,401,2.8,1,1,321,371,2.8,False
562.5,634251700251562500,320,388,2.8,1,1,324,405,2.8,1,1,317,371,2.8,False
578.125,634251700251718750,238,401,2.8,1,1,244,427,2.8,1,1,232,375,2.8,False
609.375,634251700252031250,205,415,2.8,1,1,217,448,2.8,1,1,194,383,2.8,False
625,634251700252187500,195,416,2.8,1,1,202,450,2.8,1,1,188,383,2.8,False
640.625,634251700252343750,191,419,2.8,1,1,194,456,2.8,1,1,188,383,2.8,False
671.875,634251700252656250,188,426,2.8,1,1,189,456,2.8,1,1,187,397,2.8,False
687.5,634251700252812500,187,432,2.8,1,1,188,468,2.8,1,1,186,397,2.8,False
703.125,634251700252968750,187,433,2.8,1,1,188,468,2.8,1,1,186,399,2.8,False
734.375,634251700253281250,187,432,2.8,1,1,188,468,2.8,1,1,186,397,2.8,False
750,634251700253437500,186,439,2.8,1,1,187,480,2.8,1,1,186,399,2.8,False
765.625,634251700253593750,185,442,2.8,1,1,187,480,2.8,1,1,184,404,2.8,False
796.875,634251700253906250,185,446,2.8,1,1,186,480,2.8,1,1,184,412,2.8,False
812.5,634251700254062500,182,448,2.8,1,1,185,484,2.8,1,1,179,412,2.8,False
828.125,634251700254218750,173,495,2.8,1,1,168,500,2.8,1,1,178,490,2.8,False
859.375,634251700254531250,161,531,2.8,1,1,158,572,2.8,1,1,164,490,2.8,False
875,634251700254687500,156,540,2.8,1,1,156,578,2.8,1,1,156,503,2.8,False
890.625,634251700254843750,156,545,2.8,1,1,156,580,2.8,1,1,156,510,2.8,False
921.875,634251700255156250,156,545,2.8,1,1,156,580,2.8,1,1,156,510,2.8,False
937.5,634251700255312500,156,545,2.8,1,1,156,580,2.8,1,1,156,510,2.8,False
953.125,634251700255468750,154,550,2.8,1,1,156,588,2.8,1,1,153,512,2.8,False
984.375,634251700255781250,151,550,2.8,1,1,156,588,2.8,1,1,147,512,2.8,False
1000,634251700255937500,151,552,2.8,1,1,155,590,2.8,1,1,147,515,2.8,False
1015.625,634251700256093750,147,551,2.8,1,1,154,590,2.8,1,1,140,512,2.8,False
1046.875,634251700256406250,138,551,2.8,1,1,142,590,2.8,1,1,135,512,2.8,False
1062.5,634251700256562500,110,551,2.8,1,1,108,590,2.8,1,1,113,512,2.8,False
1078.125,634251700256718750,110,549,2.8,1,1,107,581,2.8,1,1,113,517,2.8,False
1109.375,634251700257031250,110,545,2.8,1,1,107,581,2.8,1,1,113,510,2.8,False
1125,634251700257187500,109,544,2.8,1,1,107,585,2.8,1,1,111,503,2.8,False
1140.625,634251700257343750,105,544,2.8,1,1,107,585,2.8,1,1,103,503,2.8,False
1171.875,634251700257656250,105,539,2.8,1,1,107,581,2.8,1,1,103,498,2.8,False
1187.5,634251700257812500,105,541,2.8,1,1,108,585,2.8,1,1,103,498,2.8,False
1203.125,634251700257968750,105,533,2.8,1,1,109,569,2.8,1,1,101,498,2.8,False
1234.375,634251700258281250,105,541,2.8,1,1,110,584,2.8,1,1,101,498,2.8,False
1250,634251700258437500,106,541,2.8,1,1,113,585,2.8,1,1,100,498,2.8,False
1265.625,634251700258593750,107,541,2.8,1,1,113,585,2.8,1,1,101,498,2.8,False
1296.875,634251700258906250,106,541,2.8,1,1,113,585,2.8,1,1,100,498,2.8,False
1312.5,634251700259062500,106,552,2.8,1,1,113,584,2.8,1,1,99,520,2.8,False
1328.125,634251700259218750,104,552,2.8,1,1,110,584,2.8,1,1,98,521,2.8,False
1359.375,634251700259531250,100,553,2.8,1,1,104,582,2.8,1,1,97,524,2.8,False
1375,634251700259687500,98,554,2.8,1,1,102,584,2.8,1,1,95,525,2.8,False
1390.625,634251700259843750,94,556,2.8,1,1,94,584,2.8,1,1,95,528,2.8,False
1421.875,634251700260156250,91,569,2.8,1,1,93,600,2.8,1,1,90,539,2.8,False
1437.5,634251700260312500,80,580,2.8,1,1,83,600,2.8,1,1,77,560,2.8,False
1453.125,634251700260468750,78,585,2.8,1,1,79,611,2.8,1,1,77,560,2.8,False
1484.375,634251700260781250,72,587,2.8,1,1,74,614,2.8,1,1,71,560,2.8,False
1500,634251700260937500,71,588,2.8,1,1,73,617,2.8,1,1,69,560,2.8,False
1515.625,634251700261093750,70,588,2.8,1,1,72,617,2.8,1,1,69,560,2.8,False
1546.875,634251700261406250,70,587,2.8,1,1,72,614,2.8,1,1,69,560,2.8,False
1562.5,634251700261562500,71,587,2.8,1,1,71,614,2.8,1,1,71,560,2.8,False
1578.125,634251700261718750,69,588,2.8,1,1,70,617,2.8,1,1,69,560,2.8,False
1609.375,634251700262031250,69,589,2.8,1,1,70,620,2.8,1,1,69,558,2.8,False
1625,634251700262187500,68,590,2.8,1,1,68,622,2.8,1,1,69,558,2.8,False
1640.625,634251700262343750,66,590,2.8,1,1,65,623,2.8,1,1,67,558,2.8,False
1671.875,634251700262656250,63,598,2.8,1,1,62,623,2.8,1,1,65,573,2.8,False
1687.5,634251700262812500,58,598,2.8,1,1,58,624,2.8,1,1,58,573,2.8,False
1703.125,634251700262968750,57,598,2.8,1,1,57,624,2.8,1,1,57,573,2.8,False
1734.375,634251700263281250,53,603,2.8,1,1,53,629,2.8,1,1,54,578,2.8,False
1750,634251700263437500,53,601,2.8,1,1,53,629,2.8,1,1,53,573,2.8,False
1765.625,634251700263593750,53,601,2.8,1,1,53,629,2.8,1,1,53,573,2.8,False
1796.875,634251700263906250,52,604,2.8,1,1,53,631,2.8,1,1,52,578,2.8,False
1812.5,634251700264062500,55,604,2.8,1,1,59,631,2.8,1,1,52,578,2.8,False
1828.125,634251700264218750,54,604,2.8,1,1,56,631,2.8,1,1,53,578,2.8,False
1859.375,634251700264531250,54,604,2.8,1,1,56,631,2.8,1,1,53,578,2.8,False
1875,634251700264687500,56,600,2.8,1,1,59,631,2.8,1,1,54,569,2.8,False
1890.625,634251700264843750,59,600,2.8,1,1,62,631,2.8,1,1,56,569,2.8,False
1921.875,634251700265156250,62,600,2.8,1,1,68,631,2.8,1,1,56,569,2.8,False
1937.5,634251700265312500,64,594,2.8,1,1,69,629,2.8,1,1,60,560,2.8,False
1953.125,634251700265468750,70,594,2.8,1,1,73,629,2.8,1,1,67,560,2.8,False
1984.375,634251700265781250,74,585,2.8,1,1,81,617,2.8,1,1,68,553,2.8,False
2000,634251700265937500,75,585,2.8,1,1,81,617,2.8,1,1,70,553,2.8,False
2015.625,634251700266093750,85,584,2.8,1,1,91,617,2.8,1,1,79,551,2.8,False
2046.875,634251700266406250,88,582,2.8,1,1,97,617,2.8,1,1,79,548,2.8,False
2062.5,634251700266562500,88,576,2.8,1,1,97,611,2.8,1,1,79,542,2.8,False
2093.75,634251700266875000,89,579,2.8,1,1,97,617,2.8,1,1,81,542,2.8,False
2109.375,634251700267031250,89,581,2.8,1,1,98,621,2.8,1,1,81,542,2.8,False
2125,634251700267187500,91,584,2.8,1,1,99,621,2.8,1,1,84,548,2.8,False
2140.625,634251700267343750,95,586,2.8,1,1,101,621,2.8,1,1,89,552,2.8,False
2171.875,634251700267656250,215,588,2.8,1,1,216,621,2.8,1,1,215,556,2.8,False
2187.5,634251700267812500,246,595,2.8,1,1,255,621,2.8,1,1,237,569,2.8,False
2203.125,634251700267968750,248,594,2.8,1,1,256,614,2.8,1,1,241,574,2.8,False
2234.375,634251700268281250,249,594,2.8,1,1,257,612,2.8,1,1,242,577,2.8,False
2250,634251700268437500,251,593,2.8,1,1,257,609,2.8,1,1,245,577,2.8,False
2281.25,634251700268750000,252,595,2.8,1,1,257,611,2.8,1,1,248,580,2.8,False
2296.875,634251700268906250,252,599,2.8,1,1,257,611,2.8,1,1,248,587,2.8,False
2312.5,634251700269062500,252,599,2.8,1,1,257,611,2.8,1,1,248,587,2.8,False
2328.125,634251700269218750,255,600,2.8,1,1,258,612,2.8,1,1,252,588,2.8,False
2359.375,634251700269531250,254,601,2.8,1,1,257,614,2.8,1,1,252,588,2.8,False
2375,634251700269687500,254,600,2.8,1,1,257,614,2.8,1,1,252,587,2.8,False
2390.625,634251700269843750,253,607,2.8,1,1,257,627,2.8,1,1,250,587,2.8,False
2421.875,634251700270156250,252,609,2.8,1,1,257,632,2.8,1,1,248,587,2.8,False
2437.5,634251700270312500,254,610,2.8,1,1,258,632,2.8,1,1,250,588,2.8,False
2468.75,634251700270625000,257,610,2.8,1,1,264,632,2.8,1,1,250,588,2.8,False
2484.375,634251700270781250,259,609,2.8,1,1,266,632,2.8,1,1,253,587,2.8,False
2500,634251700270937500,260,608,2.8,1,1,268,630,2.8,1,1,253,586,2.8,False
2515.625,634251700271093750,311,608,2.8,1,1,316,630,2.8,1,1,306,587,2.8,False
2546.875,634251700271406250,314,606,2.8,1,1,318,627,2.8,1,1,310,586,2.8,False
2562.5,634251700271562500,314,607,2.8,1,1,318,630,2.8,1,1,310,584,2.8,False
2578.125,634251700271718750,314,607,2.8,1,1,318,630,2.8,1,1,310,584,2.8,False
2609.375,634251700272031250,314,600,2.8,1,1,318,618,2.8,1,1,310,583,2.8,False
2625,634251700272187500,314,597,2.8,1,1,318,616,2.8,1,1,310,579,2.8,False
2656.25,634251700272500000,313,594,2.8,1,1,317,613,2.8,1,1,310,576,2.8,False
2671.875,634251700272656250,313,593,2.8,1,1,316,610,2.8,1,1,310,576,2.8,False
2687.5,634251700272812500,307,539,2.8,1,1,306,557,2.8,1,1,308,521,2.8,False
2703.125,634251700272968750,305,520,2.8,1,1,304,546,2.8,1,1,306,494,2.8,False
2734.375,634251700273281250,303,510,2.8,1,1,303,529,2.8,1,1,303,491,2.8,False
2750,634251700273437500,302,510,2.8,1,1,302,529,2.8,1,1,302,491,2.8,False
2765.625,634251700273593750,300,505,2.8,1,1,302,526,2.8,1,1,299,484,2.8,False
2796.875,634251700273906250,300,499,2.8,1,1,302,523,2.8,1,1,299,476,2.8,False
2812.5,634251700274062500,300,493,2.8,1,1,302,523,2.8,1,1,299,463,2.8,False
2828.125,634251700274218750,299,491,2.8,1,1,301,522,2.8,1,1,297,460,2.8,False
2859.375,634251700274531250,297,491,2.8,1,1,297,522,2.8,1,1,297,460,2.8,False
2875,634251700274687500,296,492,2.8,1,1,296,522,2.8,1,1,297,462,2.8,False
2890.625,634251700274843750,296,501,2.8,1,1,296,540,2.8,1,1,297,463,2.8,False
2921.875,634251700275156250,296,492,2.8,1,1,296,522,2.8,1,1,297,463,2.8,False
2937.5,634251700275312500,296,501,2.8,1,1,296,540,2.8,1,1,297,463,2.8,False
2953.125,634251700275468750,295,492,2.8,1,1,294,522,2.8,1,1,297,463,2.8,False
2984.375,634251700275781250,296,501,2.8,1,1,294,540,2.8,1,1,299,462,2.8,False
3000,634251700275937500,296,501,2.8,1,1,294,540,2.8,1,1,299,462,2.8,False
3015.625,634251700276093750,296,501,2.8,1,1,293,540,2.8,1,1,300,462,2.8,False
3046.875,634251700276406250,297,501,2.8,1,1,293,540,2.8,1,1,301,462,2.8,False
3062.5,634251700276562500,297,492,2.8,1,1,293,522,2.8,1,1,301,462,2.8,False
3078.125,634251700276718750,297,486,2.8,1,1,294,511,2.8,1,1,301,461,2.8,False
3109.375,634251700277031250,297,485,2.8,1,1,294,511,2.8,1,1,301,460,2.8,False
3125,634251700277187500,297,482,2.8,1,1,294,505,2.8,1,1,301,460,2.8,False
3140.625,634251700277343750,297,478,2.8,1,1,294,499,2.8,1,1,300,457,2.8,False
3171.875,634251700277656250,297,481,2.8,1,1,295,505,2.8,1,1,300,457,2.8,False
3187.5,634251700277812500,298,482,2.8,1,1,296,505,2.8,1,1,301,460,2.8,False
3203.125,634251700277968750,299,486,2.8,1,1,297,511,2.8,1,1,302,461,2.8,False
3234.375,634251700278281250,300,504,2.8,1,1,298,526,2.8,1,1,302,483,2.8,False
3250,634251700278437500,314,543,2.8,1,1,312,529,2.8,1,1,317,558,2.8,False
3265.625,634251700278593750,316,596,2.8,1,1,312,623,2.8,1,1,321,570,2.8,False
3296.875,634251700278906250,317,601,2.8,1,1,312,630,2.8,1,1,323,573,2.8,False
3312.5,634251700279062500,317,605,2.8,1,1,312,636,2.8,1,1,323,575,2.8,False
3328.125,634251700279218750,318,610,2.8,1,1,313,636,2.8,1,1,323,585,2.8,False
3359.375,634251700279531250,320,611,2.8,1,1,316,636,2.8,1,1,325,586,2.8,False
3375,634251700279687500,322,610,2.8,1,1,316,636,2.8,1,1,329,585,2.8,False
3390.625,634251700279843750,322,610,2.8,1,1,316,636,2.8,1,1,329,585,2.8,False
3421.875,634251700280156250,322,615,2.8,1,1,316,637,2.8,1,1,329,594,2.8,False
3437.5,634251700280312500,322,615,2.8,1,1,315,636,2.8,1,1,329,594,2.8,False
3453.125,634251700280468750,322,613,2.8,1,1,315,633,2.8,1,1,329,594,2.8,False
3484.375,634251700280781250,323,609,2.8,1,1,316,632,2.8,1,1,330,587,2.8,False
3500,634251700280937500,325,610,2.8,1,1,320,633,2.8,1,1,330,587,2.8,False
3515.625,634251700281093750,332,613,2.8,1,1,326,633,2.8,1,1,338,594,2.8,False
3546.875,634251700281406250,335,612,2.8,1,1,331,637,2.8,1,1,340,587,2.8,False
3562.5,634251700281562500,338,611,2.8,1,1,333,637,2.8,1,1,344,586,2.8,False
3578.125,634251700281718750,339,609,2.8,1,1,334,633,2.8,1,1,344,586,2.8,False
3609.375,634251700282031250,340,609,2.8,1,1,334,633,2.8,1,1,347,586,2.8,False
3625,634251700282187500,340,608,2.8,1,1,334,631,2.8,1,1,347,586,2.8,False
3640.625,634251700282343750,341,609,2.8,1,1,334,631,2.8,1,1,349,587,2.8,False
3671.875,634251700282656250,341,612,2.8,1,1,333,631,2.8,1,1,349,594,2.8,False
3687.5,634251700282812500,340,615,2.8,1,1,331,631,2.8,1,1,349,599,2.8,False
3703.125,634251700282968750,339,615,2.8,1,1,332,631,2.8,1,1,347,599,2.8,False
3734.375,634251700283281250,339,615,2.8,1,1,331,631,2.8,1,1,347,599,2.8,False
3750,634251700283437500,339,615,2.8,1,1,331,631,2.8,1,1,347,600,2.8,False
3765.625,634251700283593750,340,615,2.8,1,1,331,631,2.8,1,1,350,600,2.8,False
3796.875,634251700283906250,340,623,2.8,1,1,331,647,2.8,1,1,350,600,2.8,False
3812.5,634251700284062500,339,623,2.8,1,1,331,647,2.8,1,1,347,600,2.8,False
3828.125,634251700284218750,339,623,2.8,1,1,331,647,2.8,1,1,347,599,2.8,False
3859.375,634251700284531250,339,623,2.8,1,1,332,647,2.8,1,1,347,599,2.8,False
3875,634251700284687500,340,623,2.8,1,1,333,647,2.8,1,1,347,599,2.8,False
3890.625,634251700284843750,340,616,2.8,1,1,334,633,2.8,1,1,347,599,2.8,False
3921.875,634251700285156250,344,617,2.8,1,1,342,633,2.8,1,1,347,602,2.8,False
3937.5,634251700285312500,344,618,2.8,1,1,342,633,2.8,1,1,347,604,2.8,False
3953.125,634251700285468750,344,616,2.8,1,1,342,633,2.8,1,1,347,599,2.8,False
3984.375,634251700285781250,341,618,2.8,1,1,342,633,2.8,1,1,341,603,2.8,False
4000,634251700285937500,342,618,2.8,1,1,341,633,2.8,1,1,343,603,2.8,False
4015.625,634251700286093750,342,618,2.8,1,1,342,633,2.8,1,1,343,603,2.8,False
4046.875,634251700286406250,341,618,2.8,1,1,342,633,2.8,1,1,341,603,2.8,False
4062.5,634251700286562500,341,618,2.8,1,1,341,633,2.8,1,1,342,603,2.8,False
4078.125,634251700286718750,341,611,2.8,1,1,342,633,2.8,1,1,341,590,2.8,False
4109.375,634251700287031250,343,609,2.8,1,1,344,635,2.8,1,1,342,584,2.8,False
4125,634251700287187500,343,606,2.8,1,1,344,637,2.8,1,1,342,576,2.8,False
4140.625,634251700287343750,343,618,2.8,1,1,344,661,2.8,1,1,342,576,2.8,False
4171.875,634251700287656250,340,618,2.8,1,1,341,661,2.8,1,1,339,576,2.8,False
4187.5,634251700287812500,339,604,2.8,1,1,340,635,2.8,1,1,339,573,2.8,False
4203.125,634251700287968750,339,613,2.8,1,1,340,651,2.8,1,1,338,576,2.8,False
4234.375,634251700288281250,338,624,2.8,1,1,340,662,2.8,1,1,337,586,2.8,False
4250,634251700288437500,334,612,2.8,1,1,336,651,2.8,1,1,332,574,2.8,False
4265.625,634251700288593750,333,624,2.8,1,1,336,662,2.8,1,1,331,586,2.8,False
4296.875,634251700288906250,325,625,2.8,1,1,329,662,2.8,1,1,321,589,2.8,False
4312.5,634251700289062500,325,627,2.8,1,1,329,654,2.8,1,1,321,600,2.8,False
4328.125,634251700289218750,322,635,2.8,1,1,324,654,2.8,1,1,321,616,2.8,False
4359.375,634251700289531250,321,635,2.8,1,1,321,654,2.8,1,1,321,616,2.8,False
4375,634251700289687500,320,636,2.8,1,1,321,654,2.8,1,1,320,619,2.8,False
4390.625,634251700289843750,321,642,2.8,1,1,321,661,2.8,1,1,321,623,2.8,False
4421.875,634251700290156250,322,655,2.8,1,1,324,683,2.8,1,1,321,627,2.8,False
4437.5,634251700290312500,326,657,2.8,1,1,329,683,2.8,1,1,324,632,2.8,False
4453.125,634251700290468750,330,664,2.8,1,1,335,694,2.8,1,1,326,635,2.8,False
4484.375,634251700290781250,414,681,2.8,1,1,407,694,2.8,1,1,421,669,2.8,False
4500,634251700290937500,424,685,2.8,1,1,427,694,2.8,1,1,422,676,2.8,False
4515.625,634251700291093750,425,685,2.8,1,1,428,694,2.8,1,1,422,676,2.8,False
4546.875,634251700291406250,425,689,2.8,1,1,428,695,2.8,1,1,422,684,2.8,False
4562.5,634251700291562500,425,689,2.8,1,1,428,694,2.8,1,1,422,685,2.8,False
4578.125,634251700291718750,425,689,2.8,1,1,428,694,2.8,1,1,422,685,2.8,False
4609.375,634251700292031250,425,689,2.8,1,1,428,694,2.8,1,1,422,684,2.8,False
4625,634251700292187500,424,692,2.8,1,1,427,695,2.8,1,1,421,689,2.8,False
4656.25,634251700292500000,425,692,2.8,1,1,428,695,2.8,1,1,422,689,2.8,False
4671.875,634251700292656250,424,692,2.8,1,1,426,695,2.8,1,1,422,689,2.8,False
4687.5,634251700292812500,423,696,2.8,1,1,425,706,2.8,1,1,422,686,2.8,False
4703.125,634251700292968750,423,697,2.8,1,1,425,706,2.8,1,1,422,689,2.8,False
4734.375,634251700293281250,425,700,2.8,1,1,424,707,2.8,1,1,426,694,2.8,False
4750,634251700293437500,425,698,2.8,1,1,424,707,2.8,1,1,426,689,2.8,False
4765.625,634251700293593750,425,703,2.8,1,1,424,721,2.8,1,1,426,686,2.8,False
4796.875,634251700293906250,426,704,2.8,1,1,424,722,2.8,1,1,428,686,2.8,False
4812.5,634251700294062500,426,712,2.8,1,1,424,730,2.8,1,1,429,694,2.8,False
4828.125,634251700294218750,426,708,2.8,1,1,424,730,2.8,1,1,429,686,2.8,False
4859.375,634251700294531250,426,708,2.8,1,1,424,730,2.8,1,1,428,686,2.8,False
4875,634251700294687500,425,712,2.8,1,1,424,735,2.8,1,1,427,689,2.8,False
4890.625,634251700294843750,424,712,2.8,1,1,422,735,2.8,1,1,427,689,2.8,False
4921.875,634251700295156250,425,712,2.8,1,1,422,736,2.8,1,1,428,689,2.8,False
4937.5,634251700295312500,426,715,2.8,1,1,422,742,2.8,1,1,430,689,2.8,False
4953.125,634251700295468750,427,719,2.8,1,1,424,750,2.8,1,1,430,689,2.8,False
4984.375,634251700295781250,432,719,2.8,1,1,430,750,2.8,1,1,434,689,2.8,False
5000,634251700295937500,435,720,2.8,1,1,435,751,2.8,1,1,435,689,2.8,False
5031.25,634251700296250000,485,715,2.8,1,1,487,742,2.8,1,1,483,689,2.8,False
5046.875,634251700296406250,485,715,2.8,1,1,487,742,2.8,1,1,483,689,2.8,False
5062.5,634251700296562500,489,724,2.8,1,1,488,751,2.8,1,1,491,698,2.8,False
5078.125,634251700296718750,492,724,2.8,1,1,492,751,2.8,1,1,492,698,2.8,False
5109.375,634251700297031250,496,724,2.8,1,1,498,751,2.8,1,1,495,698,2.8,False
5125,634251700297187500,498,722,2.8,1,1,500,748,2.8,1,1,497,697,2.8,False
5140.625,634251700297343750,498,725,2.8,1,1,500,754,2.8,1,1,497,697,2.8,False
5171.875,634251700297656250,499,725,2.8,1,1,500,754,2.8,1,1,499,697,2.8,False
5187.5,634251700297812500,-9999,-9999,2.8,1,1,510,754,2.8,1,0,499,697,2.8,True
5203.125,634251700297968750,511,725,2.8,1,1,511,748,2.8,1,1,511,702,2.8,False
5234.375,634251700298281250,-9999,-9999,2.8,1,0,511,748,2.8,1,1,679,698,2.8,True
5250,634251700298437500,701,727,2.8,1,1,706,757,2.8,1,1,697,698,2.8,False
5265.625,634251700298593750,-9999,-9999,2.8,1,0,706,757,2.8,1,0,697,698,2.8,True
5296.875,634251700298906250,712,727,2.8,1,1,709,757,2.8,1,1,716,697,2.8,False
5312.5,634251700299062500,-9999,-9999,2.8,1,1,709,760,2.8,1,0,716,697,2.8,True
5328.125,634251700299218750,714,727,2.8,1,1,710,761,2.8,1,1,719,694,2.8,False
5359.375,634251700299531250,-9999,-9999,2.8,1,1,716,762,2.8,1,0,719,694,2.8,True
5375,634251700299687500,-9999,-9999,2.8,1,1,716,762,2.8,1,0,719,694,2.8,True
5390.625,634251700299843750,717,738,2.8,1,1,716,762,2.8,1,1,719,715,2.8,False
5421.875,634251700300156250,719,736,2.8,1,1,718,762,2.8,1,1,720,711,2.8,False
5437.5,634251700300312500,718,734,2.8,1,1,718,762,2.8,1,1,719,707,2.8,False
5468.75,634251700300625000,718,737,2.8,1,1,718,764,2.8,1,1,719,711,2.8,False
5484.375,634251700300781250,718,739,2.8,1,1,718,764,2.8,1,1,719,714,2.8,False
5500,634251700300937500,718,739,2.8,1,1,718,764,2.8,1,1,719,714,2.8,False
5531.25,634251700301250000,719,737,2.8,1,1,718,764,2.8,1,1,721,711,2.8,False
5546.875,634251700301406250,720,738,2.8,1,1,718,764,2.8,1,1,722,713,2.8,False
5562.5,634251700301562500,721,739,2.8,1,1,718,768,2.8,1,1,725,711,2.8,False
5578.125,634251700301718750,721,739,2.8,1,1,718,770,2.8,1,1,725,709,2.8,False
5609.375,634251700302031250,721,741,2.8,1,1,718,773,2.8,1,1,725,709,2.8,False
